Unnamed: 0,,,,,,
0,총합계,492,144,139,104,105
1,논공읍,88,29,20,11,28
2,옥포읍,67,21,16,18,12
3,화원읍,27,10,7,5,5
4,현풍읍,73,26,27,13,7
5,유가읍,49,7,18,16,8
6,다사읍,34,4,9,16,5
7,가창면,48,16,15,9,8
8,구지면,70,21,19,7,23
9,하빈면,36,10,8,9,9
