Unnamed: 0,기준일자,시도명,시군구명,,,
1331,2021,경기도,하남시,4.82,4586,95176
1332,2021,경기도,용인시,3.34,11889,355800
1333,2021,경기도,처인구,5.47,5060,92576
1334,2021,경기도,기흥구,3.03,4350,143405
1335,2021,경기도,수지구,2.07,2479,119819
1336,2021,경기도,파주시,7.13,12097,169553
1337,2021,경기도,이천시,7.9,6365,80579
1338,2021,경기도,안성시,8.49,6567,77374
1339,2021,경기도,김포시,3.98,6648,167035
1340,2021,경기도,화성시,6.77,21099,311842
1341,2021,경기도,광주시,4.24,5530,130350
1342,2021,경기도,양주시,5.9,5193,88057
1343,2021,경기도,포천시,6.82,3824,56079
1344,2021,경기도,여주시,9.52,4099,43057
1345,2021,경기도,연천군,5.5,949,17244
1346,2021,경기도,가평군,14.86,3978,26761
1347,2021,경기도,양평군,10.65,5078,47683
1348,2021,강원도,동부,10.32,38545,373418
1349,2021,강원도,읍부,13.59,15266,112347
1350,2021,강원도,면부,15.94,26927,168954
1351,2021,강원도,춘천시,7.62,8040,105579
1352,2021,강원도,원주시,10.1,14504,143538
1353,2021,강원도,강릉시,11.28,10065,89259
1354,2021,강원도,동해시,15.5,6440,41536
1355,2021,강원도,태백시,14.42,2946,20436
1356,2021,강원도,속초시,16.02,6275,39169
1357,2021,강원도,삼척시,16.81,5155,30663
1358,2021,강원도,홍천군,12.98,3952,30457
1359,2021,강원도,횡성군,13.8,2863,20753
1360,2021,강원도,영월군,13.28,2412,18165
1361,2021,강원도,평창군,25.38,5609,22098
1362,2021,강원도,정선군,14.41,2487,17257
1363,2021,강원도,철원군,7.91,1335,16870
1364,2021,강원도,화천군,9.78,976,9979
1365,2021,강원도,양구군,6.13,511,8330
1366,2021,강원도,인제군,11.34,1482,13074
1367,2021,강원도,고성군,19.29,2532,13129
1368,2021,강원도,양양군,21.86,3154,14427
1369,2021,충청북도,동부,8.38,29468,351472
1370,2021,충청북도,읍부,11.51,16130,140101
1371,2021,충청북도,면부,15.54,24660,158651
1372,2021,충청북도,충주시,13.81,12985,94020
1373,2021,충청북도,제천시,10.57,6146,58119
1374,2021,충청북도,청주시,7.79,24079,308987
1375,2021,충청북도,상당구,8.38,6110,72934
1376,2021,충청북도,서원구,8.12,5979,73608
1377,2021,충청북도,흥덕구,7.29,6773,92954
1378,2021,충청북도,청원구,7.51,5217,69491
1379,2021,충청북도,보은군,15.29,2428,15881
1380,2021,충청북도,옥천군,11.82,2640,22330
1381,2021,충청북도,영동군,13.78,2963,21504
1382,2021,충청북도,진천군,15.8,6269,39670
1383,2021,충청북도,괴산군,8.97,1544,17208
1384,2021,충청북도,음성군,16.51,7150,43294
1385,2021,충청북도,단양군,14.64,2033,13885
1386,2021,충청북도,증평군,13.19,2021,15326
1387,2021,충청남도,동부,8.02,29568,368863
1388,2021,충청남도,읍부,13.27,28511,214783
1389,2021,충청남도,면부,13.26,38594,291020
1390,2021,충청남도,천안시,8.39,20593,245351
1391,2021,충청남도,동남구,8.76,8683,99153
1392,2021,충청남도,서북구,8.15,11910,146198
1393,2021,충청남도,공주시,11.38,5140,45172
1394,2021,충청남도,보령시,11.35,4995,44017
1395,2021,충청남도,아산시,11.02,14328,130041
1396,2021,충청남도,서산시,12.11,9091,75088
1397,2021,충청남도,논산시,11.25,5503,48915
1398,2021,충청남도,계룡시,13.35,2290,17156
1399,2021,충청남도,당진시,11.03,7382,66931
1400,2021,충청남도,금산군,12.93,3014,23307
1401,2021,충청남도,부여군,11.66,3449,29582
1402,2021,충청남도,서천군,17.86,4657,26078
1403,2021,충청남도,청양군,11.65,1652,14181
1404,2021,충청남도,홍성군,12.53,5441,43429
1405,2021,충청남도,예산군,13.74,4986,36286
1406,2021,충청남도,태안군,14.25,4152,29132
1407,2021,전라북도,동부,10.7,54093,505326
1408,2021,전라북도,읍부,13.29,8745,65785
1409,2021,전라북도,면부,15.0,26520,176769
1410,2021,전라북도,전주시,7.85,19104,243306
1411,2021,전라북도,완산구,7.86,9798,124735
1412,2021,전라북도,덕진구,7.85,9306,118571
1413,2021,전라북도,군산시,15.49,18202,117489
1414,2021,전라북도,익산시,11.22,13297,118515
1415,2021,전라북도,정읍시,14.07,6809,48382
1416,2021,전라북도,남원시,12.29,4303,35018
1417,2021,전라북도,김제시,16.47,6343,38501
1418,2021,전라북도,완주군,14.43,5680,39362
1419,2021,전라북도,진안군,10.73,1172,10926
1420,2021,전라북도,무주군,14.52,1634,11255
1421,2021,전라북도,장수군,10.01,959,9577
1422,2021,전라북도,임실군,15.42,1995,12938
1423,2021,전라북도,순창군,16.52,2132,12907
1424,2021,전라북도,고창군,14.18,3582,25261
1425,2021,전라북도,부안군,16.96,4146,24443
1426,2021,전라남도,동부,12.71,41952,329985
1427,2021,전라남도,읍부,14.23,27084,190265
1428,2021,전라남도,면부,16.13,46965,291228
1429,2021,전라남도,목포시,13.62,12992,95419
1430,2021,전라남도,여수시,11.61,13223,113866
1431,2021,전라남도,순천시,10.77,12392,115059
1432,2021,전라남도,나주시,17.23,9365,54339
1433,2021,전라남도,광양시,16.27,10486,64442
1434,2021,전라남도,담양군,14.5,2816,19420
1435,2021,전라남도,곡성군,15.46,2094,13545
1436,2021,전라남도,구례군,15.6,1864,11948
1437,2021,전라남도,고흥군,18.35,6281,34227
1438,2021,전라남도,보성군,14.16,2783,19658
1439,2021,전라남도,화순군,19.02,5682,29866
1440,2021,전라남도,장흥군,13.76,2427,17642
1441,2021,전라남도,강진군,18.24,3149,17267
1442,2021,전라남도,해남군,13.75,4305,31310
1443,2021,전라남도,영암군,18.39,4980,27074
1444,2021,전라남도,무안군,16.52,6034,36527
