,연번,입력일자,건물주소,건물구조,건물용도,건물규모,정비여부,정비일자,정비방법,철거 후 활용,경도,위도
51,52,2015-05-06,연산동 1589-23,조적조(블럭),단독주택,대지면적 58.5㎡,Y,2015-05-07,자진철거,기타 (.),129.0776784,35.17878818
52,53,2015-05-06,연산동 1589-21,,,,Y,2015-05-07,자진철거,기타 (),129.0775702,35.17890633
53,54,2015-05-06,연산동 1590-13,,,대지면적 59.62㎡,Y,2015-05-07,자진철거,기타 (.),129.0774722,35.1789703
54,55,2015-05-06,연산동 1589-18,,,,Y,2015-05-07,자진철거,기타 (.),129.0774604,35.17890731
55,56,2015-05-06,연산동 1589-14,,,연면적 48.93㎡,Y,2015-05-07,자진철거,기타 (),129.0776878,35.17867092
56,57,2015-05-02,거제동 300-76,조적조(블럭),단독주택,"연면적 167.74㎡, 지상 1층, 3개동",Y,2015-09-25,기타 (),,129.0772781,35.19335817
57,58,2015-05-02,거제동 305-2,조적조(블럭),단독주택,지상 1층,Y,2015-09-25,기타 (),,129.077117,35.19280074
58,59,2015-05-01,거제동 300-77,조적조(블럭),단독주택,"연면적 39.67㎡, 지상 1층",Y,2015-09-25,기타 (),,129.0772225,35.19330458
59,60,2015-04-01,연산동 1811-561,블럭슬레이트,단독주택,연면적 80.93㎡,Y,2015-06-10,예산지원철거,"쉼터(녹지, 운동시설 등)",129.095232,35.17052705
60,61,2015-04-01,연산동 1811-482,블럭슬레이트,단독주택,연면적 19.83㎡,Y,2015-06-24,예산지원철거,"쉼터(녹지, 운동시설 등)",129.0958616,35.17080979
61,62,2015-03-13,연산동 1593-11,블럭조 기와지붕,단독주택,"연면적 52.56㎡, 지상 1층",Y,2015-03-13,자진철거,기타 (),129.0776531,35.1793653
62,63,2015-03-12,연산동 1593-13,목조 루빙지붕 단층주택,단독주택,연면적 19.83㎡,Y,2015-03-12,자진철거,기타 (),129.0775534,35.17930309
63,64,2015-03-12,거제동 300-61,조적조(블럭),단독주택,"연면적 29.75㎡, 지상 1층",Y,2015-09-25,기타 (),,129.0769295,35.19356859
64,65,2015-03-12,거제동 300-8,조적조(블럭),단독주택,연면적 56㎡,Y,2016-02-12,기타 (),,129.076981,35.19331574
65,66,2015-02-25,연산동 1589-15,"시멘트블록조 기와지붕, 지상 2층",단독주택 및 근생,연면적 125.95㎡,Y,2015-02-25,자진철거,기타 (.),129.0776114,35.17870766
66,67,2015-02-12,연산동 1589-6,조적조(블럭),단독주택,연면적 42.98㎡,Y,2015-03-10,자진철거,기타 (),129.077856,35.17893984
67,68,2015-02-12,연산동 1590-20,조적조(블럭),단독주택,지상 1층,Y,2015-03-31,기타 (),,129.0776154,35.17900508
68,69,2015-02-12,연산동 1590-21,조적조(블럭),단독주택,지상 1층,Y,2015-03-31,기타 (),기타 (),129.0777365,35.17903104
69,70,2015-02-12,거제동 676-278,조적조(벽돌),단독주택,지상 2층,Y,2015-04-01,자진철거,기타 (0),129.0656822,35.1807333
70,71,2015-02-12,거제동 766-26,조적조(블럭),단독주택,지상 1층,Y,2015-04-08,자진철거,기타 (0),129.0657131,35.1805798
71,72,2015-02-12,연산동 1589-17,조적조(블럭),단독주택,연면적 42.98㎡,Y,2015-03-11,자진철거,기타 (.),129.0777132,35.1789321
72,73,2015-02-12,연산동 1589-19,조적조(벽돌),단독주택 및 근린생활시설,지상 2층,Y,2015-03-31,기타 (),,129.0775464,35.17877133
73,74,2015-02-12,연산동 1589-24,조적조(벽돌),단독주택 및 근린생활시설,지상 2층,Y,2015-03-31,기타 (),,129.0775913,35.17884304
74,75,2014-07-07,연산동 1811-581번지 외 1필지,블럭조,주택,1층 75,Y,2014-08-29,예산지원철거,기타 (),129.0958488,35.1706747
75,76,2014-07-07,연산동 1811-581번지 외 1필지,블럭조,주택,19.83,Y,2014-08-29,예산지원철거,기타 (),129.0958488,35.1706747
76,77,2014-06-02,연산동 1567,,,,Y,2014-04-01,자진철거,기타 (.),129.0793368,35.17717794
77,78,2014-06-02,연산동 1562-10,,,,Y,2014-04-01,자진철거,기타 (.),129.0797612,35.17689472
78,79,2014-06-02,연산동 1563-1,,,,Y,2014-04-01,자진철거,기타 (.),129.079939,35.17705539
79,80,2014-06-02,"연산동 1563-5, 1535-37",,,,Y,2014-04-01,자진철거,기타 (.),129.0800028,35.17690158
80,81,2014-06-02,연산동 1573-31,,,,Y,2014-04-01,자진철거,기타 (.),129.0782632,35.17734977
81,82,2014-06-02,연산동 1575-9,,,,Y,2014-04-01,자진철거,기타 (.),129.0797074,35.17697633
82,83,2014-06-02,연산동 1575-1,,,,Y,2014-04-01,자진철거,기타 (.),129.0798299,35.17711044
